sangfroidperilouslicentiousebullientabasement
abated	{'Verb': ['make less active or intense', 'become less in amount or intensity']}
hierarchy	{'Noun': ['a series of ordered groupings of people or things within a system', 'the organization of people at different ranks in an administrative body']}
hindered	{'Verb': ['be a hindrance or obstacle to', 'hinder or prevent the progress or accomplishment of', 'put at a disadvantage']}
hindrance	{'Noun': ['something immaterial that interferes with or delays action or progress', 'any obstruction that impedes or is burdensome', 'the act of hindering or obstructing or impeding']}
hinging	{'Verb': ['attach with a hinge']}
hinterland	{'Noun': ['a remote and undeveloped area']}
hirsute	{'Adjective': ['having or covered with hair']}
histrionic	{'Adjective': ['characteristic of acting or a stage performance; often affected']}
hobble	{'Noun': ['a shackle for the ankles or feet', 'the uneven manner of walking that results from an injured leg'], 'Verb': ['walk impeded by some physical limitation or injury', 'hamper the action or progress of', 'strap the foreleg and hind leg together on each side (of a horse']}
hodgepodge	{'Noun': ['a motley assortment of things', 'a theory or argument made up of miscellaneous or incongruous ideas']}
homogenous	{'Adjective': ['all of the same or similar kind or nature']}
honed	{'Verb': ['sharpen with a hone', 'make perfect or complete']}
honeycombed	{'Verb': ['carve a honeycomb pattern into', 'penetrate thoroughly and into every part', 'make full of cavities, like a honeycomb'], 'Adjective': ['pitted with cell-like cavities (as a honeycomb']}
honorific	{'Noun': ['an expression of respect'], 'Adjective': ['conferring or showing honor or respect']}
horrific	{'Adjective': ['grossly offensive to decency or morality; causing horror', 'causing fear or dread or terror']}
house	{'Noun': ['a dwelling that serves as living quarters for one or more families', 'the members of a business organization that owns or operates one or more establishments', 'the members of a religious community living together', 'the audience gathered together in a theatre or cinema', 'an official assembly having legislative powers', 'aristocratic family line', 'play in which children take the roles of father or mother or children and pretend to interact like adults', '(astrology', 'the management of a gambling house or casino', 'a social unit living together', 'a building where theatrical performances or motion-picture shows can be presented', 'a building in which something is sheltered or located'], 'Verb': ['contain or cover', 'provide housing for']}
humanize	{'Verb': ['make more humane']}
husband	"{'Noun': [""a married man; a woman's partner in marriage""], 'Verb': ['use cautiously and frugally']}"
hyperboles	{'Noun': ['extravagant exaggeration']}
hysteria	{'Noun': ['state of violent mental agitation', 'excessive or uncontrollable fear', 'neurotic disorder characterized by violent emotional outbreaks and disturbances of sensory and motor functions']}
iconoclasm	{'Noun': ['the orientation of an iconoclast']}
iconoclastic	{'Adjective': ['characterized by attack on established beliefs or institutions', 'destructive of images used in religious worship; said of religions, such as Islam, in which the representation of living things is prohibited']}
ideologues	{'Noun': ['an advocate of some ideology']}
ideological	{'Adjective': ['of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation', 'concerned with or suggestive of ideas']}
idioms	{'Noun': ['a manner of speaking that is natural to native speakers of a language', 'the usage or vocabulary that is characteristic of a specific group of people', 'the style of a particular artist or school or movement', 'an expression whose meanings cannot be inferred from the meanings of the words that make it up']}
idiosyncratic	{'Adjective': ['peculiar to the individual']}
idle	{'Noun': ['the state of an engine or other mechanism that is idling'], 'Verb': ['run disconnected or idle', 'be idle; exist in a changeless situation'], 'Adjective': ['not in action or at work', 'without a basis in reason or fact', 'not in active use', 'silly or trivial', 'lacking a sense of restraint or responsibility', 'not yielding a return', 'not having a job']}
ignominious	{'Adjective': ['(used of conduct or character']}
illiberal	{'Adjective': ['narrow-minded about cherished opinions']}
illicit	{'Adjective': ['contrary to accepted morality (especially sexual morality', 'contrary to or forbidden by law']}
imbues	{'Verb': ['spread or diffuse through', 'fill, soak, or imbue totally', 'suffuse with color']}
immaterial	{'Adjective': ['of no importance or relevance especially to a law case', 'without material form or substance', 'not consisting of matter', 'not pertinent to the matter under consideration', 'or indifferent']}
immoderate	{'Adjective': ['beyond reasonable limits']}
immolate	{'Verb': ['offer as a sacrifice by killing or by giving up to destruction']}
immortalized	{'Verb': ['be or provide a memorial to a person or an event', 'make famous forever']}
immutable	{'Adjective': ['not subject or susceptible to change or variation in form or quality or nature', 'constant and unchanging']}
impact	{'Noun': ['the striking of one body against another', 'a forceful consequence; a strong effect', 'influencing strongly', 'the violent interaction of individuals or groups entering into combat'], 'Verb': ['press or wedge together; pack together', 'have an effect upon']}
impartial	{'Adjective': ['showing lack of favoritism', 'free from undue bias or preconceived opinions']}
impartiality	{'Noun': ['an inclination to weigh both views or opinions equally']}
impasse	{'Noun': ['a situation in which no progress can be made or no advancement is possible', 'a street with only one way in or out']}
impeccable	{'Adjective': ['without fault or error', 'not capable of sin']}
impecunious	{'Adjective': ['not having enough money to pay for necessities']}
impede	{'Verb': ['be a hindrance or obstacle to', 'block passage through']}
impediments	{'Noun': ['something immaterial that interferes with or delays action or progress', 'any structure that makes progress difficult']}
impenetrable	{'Adjective': ['not admitting of penetration or passage into or through', 'permitting little if any light to pass through because of denseness of matter', 'impossible to understand']}
imperil	{'Verb': ['pose a threat to; present a danger to']}
imperious	{'Adjective': ['having or showing arrogant superiority to and disdain of those one views as unworthy']}
impervious	{'Adjective': ['not admitting of passage or capable of being affected']}
impious	{'Adjective': ['lacking piety or reverence for a god', 'lacking due respect or dutifulness']}
implacability
implicit	{'Adjective': ['implied though not directly expressed; inherent in the nature of something', 'being without doubt or reserve']}
important	{'Adjective': ['of great significance or value', 'important in effect or meaning', 'of extreme importance; vital to the resolution of a crisis', 'having authority or ascendancy or influence', 'having or suggesting a consciousness of high position']}
importunate	{'Adjective': ['expressing persistant and earnest entreaty']}
impotent	{'Adjective': ['lacking power or ability', '(of a male']}
impressed	{'Verb': ['have an emotional or cognitive impact upon', 'impress positively', 'produce or try to produce a vivid impression of', 'mark or stamp with or as if with pressure', 'reproduce by printing', 'take (someone', 'dye (fabric'], 'Adjective': ['deeply or markedly affected or influenced']}
improvident	{'Adjective': ['not provident; not providing for the future', 'not given careful consideration']}
impudent	{'Adjective': ['marked by casual disrespect', 'improperly forward or bold']}
imputation	{'Noun': ['a statement attributing something dishonest (especially a criminal offense', 'the attribution to a source or cause']}
incendiary	{'Noun': ['a criminal who illegally sets fire to property', 'a bomb that is designed to start fires; is most effective against flammable targets (such as fuel'], 'Adjective': ['involving deliberate burning of property', 'arousing to action or rebellion', 'capable of catching fire spontaneously or causing fires or burning readily']}
